TextID;Segment_nature;Segment_set;PairID;Segment;Topic;URL;URL_ID
1;naturally occurring;SetA;3;For‡as de contato: [ocorrem] Quando h  contato direto entre dois corpos.;Physics;https://mundoeducacao.bol.uol.com.br/fisica/forca-centripeta.htm;3
2;naturally occurring;SetA;4;For‡as de campo: [ocorrem] Quando a atua‡Æo da for‡a ocorre a distƒncia.;Physics;https://mundoeducacao.bol.uol.com.br/fisica/forca-centripeta.htm;3
3;naturally occurring;SetA;6;A fecunda‡Æo ‚ um processo biol¢gico caracterizado pela uniÆo de duas c‚lulas: o gameta masculino e o gameta feminino que, por sua vez, geram a primeira c‚lula de um novo indiv¡duo.;Biology;https://conceitos.com/fecundacao/;5
4;naturally occurring;SetA;7;Qualquer mudan‡a na seqˆncia de 3 bilhäes de letrinhas que formam o nosso genoma ‚ o que chamamos de muta‡Æo.;Biology;https://mundoestranho.abril.com.br/ciencia/como-acontece-uma-mutacao-no-dna/;6
5;naturally occurring;SetA;12;O vitiligo ‚ uma doen‡a caracterizada por manchas brancas na pele e nas mucosas.;Biology;https://mundoestranho.abril.com.br/saude/o-que-e-o-vitiligo-como-ele-surge/;9
6;naturally occurring;SetA;13;A teoria mais aceita ‚ que [o vitiligo] seja uma s¡ndrome autoimune.;Biology;https://mundoestranho.abril.com.br/saude/o-que-e-o-vitiligo-como-ele-surge/;9
7;naturally occurring;SetA;15;Quando as regiäes despigmentadas afetam mais da metade do corpo, pode ser indicada a despigmenta‡Æo total da pele.;Biology;http://brasilescola.uol.com.br/doencas/vitiligo.htm;10
8;naturally occurring;SetA;16;Pareidolia ‚ um fen“meno psicol¢gico comum em todos os seres humanos, conhecido por fazer as pessoas reconhecerem imagens de rostos humanos ou animais em objetos, sombras, forma‡äes de luzes e em qualquer outro est¡mulo visual aleat¢rio.;Psychology;https://www.significados.com.br/pareidolia/;11
9;naturally occurring;SetA;17;Asteroides sÆo corpos celestes de forma‡Æo met lica que orbitam o Sol.;Physics;https://mundoeducacao.bol.uol.com.br/fisica/asteroides.htm;12
10;naturally occurring;SetA;19;Por defini‡Æo sapr¢fitos sÆo micro-organismos que se alimentam de mat‚ria orgƒnica morta.;Biology;http://pataniscassatanicas.blogspot.com.br/2014/10/flora-saprofita.html;14
11;naturally occurring;SetA;20;"Heter¢trofo: [‚ o]ÿSer vivo que nÆo produz com seu organismo, seu pr¢prio alimento. Os homens sÆo heter¢trofos pois necessitam ""captar"" seus alimentos em ambientes externos";Biology;http://www.dicionarioinformal.com.br/heter%C3%B3trofo/;15
12;naturally occurring;SetA;21;Seres aut¢trofos: Tamb‚m conhecidos como seres produtores, sÆo aqueles que possuem a capacidade de produzir seu pr¢prio alimento.;Biology;https://www.todabiologia.com/ecologia/autotrofos_heterotrofos.htm;16
13;naturally occurring;SetA;23;Acatisia ‚ uma condi‡Æo psicomotora onde o paciente sente uma grande dificuldade em permanecer parado, sentado ou im¢vel.;Biology;https://www.psiquiatriageral.com.br/glossario/a.htm;18
14;naturally occurring;SetA;25;Clinicamente ‚ caracterizado por inquieta‡Æo psicomotora, desejo incontrol vel de movimentar-se e sensa‡Æo interna de tensÆo.      ;Biology;https://www.psiquiatriageral.com.br/glossario/a.htm;18
15;naturally occurring;SetA;26;A mitose ‚ um processo de divisÆo celular em que uma c‚lula d  origem a duas c‚lulas-filhas com o mesmo n£mero de cromossomos (estrutura formada por DNA condensado) da inicial.;Biology;http://escolakids.uol.com.br/divisao-celular.htm;20
