Segment..Segment_set;Segment..Segment_nature;Complex..ComplexID;ClauseID;ClauseID_text;Clause;Embedded_count;Agent;Process;Medium;Range;Beneficiary;sequence;Agent_presence;Process_presence;Medium_presence;Range_presence;Beneficiary_presence
SetA;naturally occurring;2_1;  212;2_1_2;Quando a atuação da força ocorre a distância.;0;;ocorre;a atuação da força;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;3_1;  312;3_1_2;que, por sua vez, geram a primeira célula de um novo indivíduo.;0;que;geram;a primeira célula de um novo indivíduo;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;4_1;  411;4_1_1;Qualquer mudança na seqüência de 3 bilhões de letrinhas [[que formam o nosso genoma]] é o que chamamos de mutação.;1;;é;Qualquer mudança na seqüência de 3 bilhões de letrinhas que formam o nosso genoma ;o que chamamos de mutação;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;5_1;  511;5_1_1;O vitiligo é uma doença [[caracterizada por manchas brancas na pele e nas mucosas]];1;;é;O vitiligo;uma doença caracterizada por manchas brancas na pele e nas mucosas.;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;6_1;  611;6_1_1;A teoria mais aceita é [^o fato] que [^o vitiligo] seja uma síndrome autoimune.;0;;é;A teoria mais aceita;[o fato] que [o vitiligo] seja uma síndrome autoimune;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;8_1;  811;8_1_1;Pareidolia é um fenômeno psicológico comum em todos os seres humanos, [[conhecido por fazer as pessoas reconhecerem imagens de rostos humanos ou animais em objetos, sombras, formações de luzes e em qualquer outro estímulo visual aleatório]];1;;é;Pareidolia;um fenômeno psicológico comum em todos os seres humanos, conhecido por fazer as pessoas reconhecerem imagens de rostos humanos ou animais em objetos, sombras, formações de luzes e em qualquer outro estímulo visual aleatório.;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;9_1;  911;9_1_1;Asteroides são corpos celestes de formação metálica [[que orbitam o Sol]];1;;são;Asteroides;corpos celestes de formação metálica que orbitam o Sol.;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;11_1; 1111;11_1_1;Heterótrofo: [^é o] Ser vivo [[que não produz com seu organismo, seu próprio alimento]];1;;é;Heterótrofo;Ser vivo que não produz com seu organismo, seu próprio alimento;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;13_1; 1311;13_1_1;Acatisia é uma condição psicomotora [[onde o paciente sente uma grande dificuldade em permanecer parado, sentado ou imóvel]];1;;é;Acatisia;uma condição psicomotora [[onde o paciente sente uma grande dificuldade em permanecer parado, sentado ou imóvel]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;14_1; 1411;14_1_1;Clinicamente é caracterizado por inquietação psicomotora, desejo incontrolável [[de movimentar-se]] e sensação interna de tensão.;1;inquietação psicomotora, desejo incontrolável de movimentar-se e sensação interna de tensão.;é caracterizado;[^a acatisia];;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;15_1; 1511;15_1_1;A mitose é um processo de divisão celular [[em que uma célula dá origem a duas células-filhas com o mesmo número de cromossomos (estrutura formada por DNA condensado) da inicial]];1;;é;A mitose;um processo de divisão celular [[em que uma célula dá origem a duas células-filhas com o mesmo número de cromossomos (estrutura formada por DNA condensado) da inicial]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;16_1; 1611;16_1_1;Esse processo,<<2>>, apresenta fases bem marcantes [[que permitem a sua divisão em quatro etapas: prófase, metáfase, anáfase e telófase]];1;;apresenta;Esse processo;fases bem marcantes [[que permitem a sua divisão em quatro etapas: prófase, metáfase, anáfase e telófase]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;18_1; 1811;18_1_1;As proteínas são substâncias [[que formam todos os seres vivos]];1;;são;As proteínas;substâncias [[que formam todos os seres vivos]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;19_1; 1912;19_1_2;que ficam ligadas por ligações [[conhecidas por polipeptídicas]].;1;;ficam ;que;ligadas;que;Process_Medium_Range_Beneficiary;0;1;1;1;1
SetA;naturally occurring;20_1; 2011;20_1_1;Nas proteínas conjugadas, além de aminácidos, existe um radical de origem não peptídica,;0;;existe;um radical de origem não peptídica;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;21_1; 2111;21_1_1;As proteínas derivadas, por sua vez, não são encontradas na natureza;0;;são encontradas;As proteínas derivadas;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;22_1; 2211;22_1_1;DNA é a sigla para ácido desoxirribonucleico, um aglomerado de moléculas [[que contém o material genético dos seres vivos]];1;;é;DNA;a sigla para ácido desoxirribonucleico, um aglomerado de moléculas [[que contém o material genético dos seres vivos]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;28_1; 2811;28_1_1;Daltonismo é uma alteração da visão [[que caracteriza-se pela incapacidade de distinguir algumas cores, principalmente o verde do vermelho]];1;;é;Daltonismo;uma alteração da visão [[que caracteriza-se pela incapacidade de distinguir algumas cores, principalmente o verde do vermelho]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;30_1; 3011;30_1_1;[Na] PLEIOTROPIA: Um gene condiciona;0;Um gene;condiciona;;;;Agent_Process;1;1;0;0;0
SetA;naturally occurring;30_1; 3012;30_1_2;ou influencia mais de uma característica no indivíduo.;0;;influencia;mais de uma característica;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;32_1; 3211;32_1_1;As enzimas de restrição, também [[chamadas de endonucleases de restrição]], reconhecem uma seqüência de bases específica na dupla-hélice de DNA;1;As enzimas de restrição, também chamadas de endonucleases de restrição;reconhecem;uma seqüência de bases específica;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;32_1; 3212;32_1_2;e cortam ambas as fitas da hélice, em lugares determinados.;0;[^As enzimas de restrição];cortam;ambas as fitas da hélice;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;33_1; 3312;33_1_2;os cortes ocorrem nos mesmos pontos,;0;;ocorrem;os cortes;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;34_1; 3411;34_1_1;A 1ª [primeira] lei de Newton nos diz;0;A 1ª [primeira] lei de Newton;diz;;;nos;Agent_Process_Beneficiary;1;1;0;0;1
SetA;naturally occurring;34_1; 3413;34_1_3;a não ser que sofra a ação de uma força externa.;0;a ação de uma força externa.;sofra;[^um objeto];;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;35_1; 3511;35_1_1;A sinalização celular é a forma [[como uma célula comunica-se com outra a partir de sinais por elas emitidos]].;1;;é;A sinalização celular;a forma [[como uma célula comunica-se com outra a partir de sinais por elas emitidos]].;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;36_1; 3611;36_1_1;O transtorno do déficit de atenção com hiperatividade (TDAH), mais conhecido como distúrbio de déficit de atenção (DDA), é uma condição [[em que há falta de atenção, hiperatividade e/ou impulsividade]];1;;é;O transtorno do déficit de atenção com hiperatividade (TDAH), mais conhecido como distúrbio de déficit de atenção (DDA);uma condição em que há falta de atenção, hiperatividade e/ou impulsividade.;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;37_1; 3711;37_1_1;Nas crianças sem células T, a doença é fatal;0;;é;a doença;fatal;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;39_1; 3912;39_1_2;Ela afeta cerca de 1% da população.;0;Ela;afeta;cerca de 1% da população;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;40_1; 4012;40_1_2;e não é causada por uma educação inadequada pelos pais ou ambiente com doenças mentais.;0;uma educação inadequada pelos pais ou ambiente com doenças mentais.;é causada;[^a esquizofrenia];;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;41_1; 4111;41_1_1;Um gêmeo [[cujo irmão gêmeo tenha esquizofrenia]] tem um risco de 50% de desenvolver a doença.;1;;tem;Um gêmeo [[cujo irmão gêmeo tenha esquizofrenia]];um risco de 50% de desenvolver a doença.;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;42_1; 4211;42_1_1;Os sintomas podem ser desencadeados;0;;podem ser desencadeados;Os sintomas;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;42_1; 4212;42_1_2;ou  [^podem ser] agravados por eventos estressantes da vida, como perda de um emprego ou término de uma relação amorosa.;0;por eventos estressantes da vida, como perda de um emprego ou término de uma relação amorosa;[^podem ser] agravados;[^os sintomas];;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;43_1; 4311;43_1_1;O risco de suicídio é maior nas pessoas [[que desenvolveram esquizofrenia em uma idade mais avançada e que vinham tendo um bom desempenho antes de ela de desenvolver]].;1;;é;O risco de suicídio;maior;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;44_1; 4412;44_1_2;melhor [^é] o resultado.;0;;é;o resultado;melhor;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;45_1; 4511;45_1_1;Sem tratamento com medicamentos, 70 a 80% das pessoas têm um novo episódio durante o primeiro ano após o diagnóstico.;0;;têm;70 a 80% das pessoas;um novo episódio;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;46_1; 4611;46_1_1;A administração contínua de medicamentos pode reduzir essa porcentagem para cerca de 30%;0;A administração contínua de medicamentos;pode reduzir;essa porcentagem;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;47_1; 4711;47_1_1;Apenas aproximadamente 15% das pessoas com esquizofrenia conseguem ter o mesmo desempenho [[que tinham antes de a esquizofrenia se desenvolver]];1;;conseguem ter;aproximadamente 15% das pessoas com esquizofrenia;o mesmo desempenho [[que tinham antes de a esquizofrenia se desenvolver]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;48_1; 4814;48_1_4;e [^podem] obstruir uma artéria.;0;[^aglomerados de coágulos sanguíneos (e bactérias na endocardite infecciosa)];obstruir;uma artéria;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;50_1; 5011;50_1_1;O médico diagnostica a fobia social;0;O médico;diagnostica;a fobia social;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;57_1; 5711;57_1_1;Efeitos negativos sobre o pensamento e o humor: a pessoa pode não conseguir se lembrar de partes significativas do evento traumático (chamada).;0;a pessoa;pode não conseguir se lembrar;de partes significativas do evento traumático (chamada).;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;62_1; 6211;62_1_1;O médico também avalia quão perigosa [[a pessoa pode ser]], especialmente qual a sua propensão [[de colocar em prática os delírios]].;2;O médico;avalia;quão perigosa [[a pessoa pode ser]], especialmente qual a sua propensão [[de colocar em prática os delírios]].;;;Agent_Process_Medium;1;1;1;0;0
SetA;naturally occurring;63_1; 6311;63_1_1;A maioria das pessoas pode continuar a trabalhar.;0;A maioria das pessoas;pode continuar a trabalhar;;;;Agent_Process;1;1;0;0;0
SetA;naturally occurring;64_1; 6411;64_1_1;Tratamento: [^é] [[Criar um bom relacionamento entre o médico e o paciente]];1;;é;Tratamento;[[Criar um bom relacionamento entre o médico e o paciente]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;65_1; 6511;65_1_1;As preocupações são de natureza geral,;0;;são;As preocupações;de natureza geral;;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;67_1; 6711;67_1_1;A síndrome do pânico envolve ataques de pânico espontâneos [[que ocorrem de maneira repetida]], preocupação com ataques futuros e alterações no comportamento [[para evitar situações que estão associadas com um ataque.]];2;;envolve;A síndrome do pânico;ataques de pânico espontâneos [[que ocorrem de maneira repetida, preocupação com ataques futuros e alterações no comportamento para evitar situações que estão associadas com um ataque.]];;Process_Medium_Range;0;1;1;1;0
SetA;naturally occurring;68_1; 6811;68_1_1;[^Podem ocorrer] Alterações no comportamento devido aos ataques de pânico;0;;[^Podem ocorrer];Alterações no comportamento;;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;69_1; 6912;69_1_2;Para outras, a síndrome do pânico piora;0;a síndrome do pânico;piora;;;;Agent_Process;1;1;0;0;0
SetA;naturally occurring;69_1; 6913;69_1_3;e melhora ao longo dos anos.;0;;melhora;[^a síndrome do pânico];;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;70_1; 7011;70_1_1;Para algumas pessoas basta apenas [[incentivá-las a retornar]];1;;basta;[[incentivá-las a retornar]];;;Process_Medium;0;1;1;0;0
SetA;naturally occurring;71_1; 7114;71_1_4;normalmente é necessário tratamento com medicamentos e psicoterapia.;0;;é;tratamento com medicamentos e psicoterapia.;necessário;;Process_Medium_Range;0;1;1;1;0
